,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
1008,2021/03/08 7:31:35 pm GMT+5:30,1,4,3,6,Gymkhana;Library;Main Building;Other Hall of Residence;2.2;A Department,2,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Veggies;Tikka;Smart Pind,11AM-1PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department,2am-3am,UG,3rd,SN-IG Hall,QE
1009,2021/03/08 7:31:52 pm GMT+5:30,7,1,3,2,Other Hall of Residence;2.2;Other,1,4,Other Hall Canteens;Food City,7PM-9PM;9PM-11PM,Other Halls of Residence;2.2,12am-1am,UG,3rd,HJB Hall,EC
1010,2021/03/08 7:32:03 pm GMT+5:30,3,2,2,3,Nalanda;2.2,1,3,Your own Hall Canteen;Other;I generally eat in my hall mess,7PM-9PM;9PM-11PM,I don't go anywhere,11pm-12am,UG,3rd,MS Hall,EC
1011,2021/03/08 7:32:03 pm GMT+5:30,3,2,3,2,Tech Market;Other Hall of Residence;Tata Sports Complex,2,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,1PM-3PM;5PM-7PM;9PM-11PM,Other Halls of Residence;Tata Sports Complex;Tech Market,11pm-12am,UG,2nd,RP Hall,MF
1012,2021/03/08 7:32:32 pm GMT+5:30,3,2,2,0,Library;Tech Market;Other,1,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,7PM-9PM;9PM-11PM,Library,10pm-11pm,UG,3rd,RP Hall,EC
1013,2021/03/08 7:32:36 pm GMT+5:30,0,1,1,0,Main Building,0,0,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,PG,2nd,MS Hall,PH
1014,2021/03/08 7:33:07 pm GMT+5:30,3,4,4,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus;Nehru Museum,3,9,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Food City;VSRC canteen;Tikka;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tech Market;Outside Campus;Other,1am-2am,UG,3rd,Patel Hall,EC
1015,2021/03/08 7:33:09 pm GMT+5:30,3,1,2,1,Library;Tech Market;2.2;A Department,2,1,Your own Hall Canteen;Tech Market,11AM-1PM;5PM-7PM,2.2;Library;Tech Market,I usually stay in my room,UG,2nd,RP Hall,IM
1016,2021/03/08 7:33:23 pm GMT+5:30,4,1,4,2,Library;Main Building;Tech Market;Other Hall of Residence,1,3,Your own Hall Canteen;PFC;Outside Campus;Veggies;I generally eat in my hall mess,11AM-1PM;5PM-7PM,Other Halls of Residence;Library;Main Building;Outside Campus,12am-1am,UG,3rd,MS Hall,ME
1017,2021/03/08 7:35:13 pm GMT+5:30,4,4,5,2,Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus;Other,1,3,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Food City;Tikka;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Main Building;Tech Market;Outside Campus,10pm-11pm,UG,3rd,LLR Hall,EC
1018,2021/03/08 7:42:01 pm GMT+5:30,3,3,3,2,Tech Market;Nalanda;2.2,1,1,Your own Hall Canteen;Food City,5PM-7PM,2.2;Tech Market,10pm-11pm,UG,3rd,SN-IG Hall,CS
1019,2021/03/08 7:42:27 pm GMT+5:30,2,3,1,2,Other Hall of Residence;Nalanda;A Department,1,4,Your own Hall Canteen;PFC;Other Hall Canteens,11AM-1PM;1PM-3PM;9PM-11PM,Other Halls of Residence,12am-1am,UG,3rd,JCB Hall,CS
1020,2021/03/08 7:44:48 pm GMT+5:30,3,1,4,4,Gymkhana;Library;Main Building;Tata Sports Complex;Vikramshila,2,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,9AM-11AM;3PM-5PM;5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;Library;Main Building;Tata Sports Complex,10pm-11pm,UG,2nd,RK Hall,HS
1021,2021/03/08 7:48:59 pm GMT+5:30,0,2,2,1,Main Building;Tech Market,0,1,CCD Mio Amore Area,5PM-7PM,Tech Market,9pm-10pm,PG,2nd,Rani Laxmibai Hall,BT
1022,2021/03/08 7:49:01 pm GMT+5:30,3,5,3,5,Library;Main Building;Tech Market;Other Hall of Residence;Outside Campus;A Department,4,4,Your own Hall Canteen;Other Hall Canteens;Tech Market,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Library;Main Building;Nalanda Complex;Tech Market;Other,1am-2am,UG,3rd,JCB Hall,
1023,2021/03/08 7:50:15 pm GMT+5:30,3,4,5,4,Gymkhana;Main Building;Tech Market;2.2;A Department,2,3,PFC;Other Hall Canteens;CCD Mio Amore Area;Food City;Tikka;Smart Pind,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Tech Market;Outside Campus;A Department,12am-1am,UG,4th,MT Hall,PH
1024,2021/03/08 7:50:33 pm GMT+5:30,3,3,3,4,Tech Market;Nalanda;2.2,2,6,PFC;CCD Mio Amore Area;Tech Market;Food City;Tikka;Smart Pind;Other,5PM-7PM;7PM-9PM;9PM-11PM,Tech Market,1am-2am,UG,3rd,MT Hall,EC
1025,2021/03/08 7:50:41 pm GMT+5:30,2,1,5,3,Gymkhana;Tech Market;2.2,1,4,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies;Tikka;Smart Pind;I generally eat in my hall mess,5PM-7PM,Other,9pm-10pm,PG,2nd,Nivedita Hall,AR
1026,2021/03/08 7:51:14 pm GMT+5:30,0,4,5,8,Other Hall of Residence;Vikramshila;2.2,2,7,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Food City,7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Vikramshila,1am-2am,UG,3rd,LLR Hall,MT
1027,2021/03/08 7:56:33 pm GMT+5:30,1,2,2,2,Gymkhana Park;Library;Tech Market;Other Hall of Residence;2.2;Other,1,0,Your own Hall Canteen;Tech Market;I generally eat in my hall mess,5PM-7PM,2.2;Library;Outside Campus;I don't go anywhere,10pm-11pm,UG,2nd,Azad Hall,BT
1028,2021/03/08 7:56:57 pm GMT+5:30,1,2,5,3,Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Outside Campus;Other,2,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Peep Kitchen;Food City;Super Duper;Smart Pind;Other,9AM-11AM;5PM-7PM;9PM-11PM,Other Halls of Residence;Tech Market;Outside Campus;Other,2am-3am,UG,5th,LBS Hall,EX
1029,2021/03/08 8:04:52 pm GMT+5:30,2,2,3,1,Tech Market;Other Hall of Residence;2.2,2,3,PFC;CCD Mio Amore Area;Tech Market;Food City;I generally eat in my hall mess,3PM-5PM,Other Halls of Residence;2.2;Tech Market,10pm-11pm,UG,3rd,MT Hall,CS
1030,2021/03/08 8:05:19 pm GMT+5:30,2,3,4,3,Gymkhana Park;Library;Main Building;Tech Market;Other,2,5,PFC;Outside Campus;Tech Market;Peep Kitchen;Food City;Tikka,7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Library;Tech Market;Outside Campus,12am-1am,PG,2nd,MMM Hall,CE
1031,2021/03/08 8:06:36 pm GMT+5:30,1,4,2,3,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;2.2,1,1,Your own Hall Canteen;Other Hall Canteens;Heritage;Food City;Smart Pind;I generally eat in my hall mess,9AM-11AM;7PM-9PM,Other Halls of Residence;Tech Market,9pm-10pm,UG,2nd,RP Hall,AG
1032,2021/03/08 8:09:41 pm GMT+5:30,0,2,5,4,Tech Market;2.2;A Department,3,1,Your own Hall Canteen;Tech Market;Tikka,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Tech Market;A Department,2am-3am,PG,2nd,B C Roy Hall,ME
1033,2021/03/08 8:13:22 pm GMT+5:30,4,3,5,6,Gymkhana;Gymkhana Park;Main Building;Tech Market;Vikramshila;Nalanda;2.2;A Department,3,10,Your own Hall Canteen;PFC;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Smart Pind;I generally eat in my hall mess,11AM-1PM;3PM-5PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Netaji Auditorium,2am-3am,UG,2nd,LBS Hall,ME
1034,2021/03/08 8:14:40 pm GMT+5:30,0,2,5,3,Library;Tech Market;Nalanda;A Department,2,1,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Peep Kitchen,5PM-7PM;7PM-9PM,Tech Market,12am-1am,PG,2nd,Nivedita Hall,AR
1035,2021/03/08 8:17:14 pm GMT+5:30,2,4,4,1,Gymkhana;Gymkhana Park;Library;Tech Market;Tata Sports Complex;2.2;Outside Campus,2,3,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Peep Kitchen,9AM-11AM;5PM-7PM,2.2;Tech Market;Outside Campus,12am-1am,UG,5th,LBS Hall,IM
1036,2021/03/08 8:18:45 pm GMT+5:30,2,2,3,3,Gymkhana;Main Building;2.2,2,5,Your own Hall Canteen;Outside Campus;Smart Pind,7PM-9PM,Gymkhana;Library;Main Building,1am-2am,UG,2nd,LBS Hall,AG
1037,2021/03/08 8:20:44 pm GMT+5:30,2,2,3,4,Main Building;Tech Market;Other Hall of Residence;2.2,2,5,PFC;Other Hall Canteens;Outside Campus,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Main Building;Tech Market;Basketball/Tennis Courts,10pm-11pm,UG,3rd,Azad Hall,EC
1038,2021/03/08 8:23:59 pm GMT+5:30,3,2,5,5,Main Building;Tech Market;A Department;Nehru Museum,2,2,Your own Hall Canteen;PFC;Tech Market,9PM-11PM,Gymkhana Park;Tech Market,11pm-12am,UG,5th,Azad Hall,
1039,2021/03/08 8:25:54 pm GMT+5:30,3,4,5,4,Main Building;Tech Market;Other Hall of Residence;Nalanda;Outside Campus;A Department;Nehru Museum,2,6,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Smart Pind;Subway,3PM-5PM;5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;2.2;Nalanda Complex;Tech Market;Outside Campus;Nehru Museum,11pm-12am,UG,5th,RP Hall,BT
1040,2021/03/08 8:32:46 pm GMT+5:30,1,2,5,4,Main Building;Tech Market;Other,2,1,Your own Hall Canteen;Tech Market;Peep Kitchen;Billoos,3PM-5PM;5PM-7PM,Tech Market;A Department,1am-2am,PG,2nd,MS Hall,PH
1041,2021/03/08 8:33:43 pm GMT+5:30,2,4,4,8,Tech Market;Tata Sports Complex;2.2;A Department,2,3,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Tech Market,9AM-11AM;7PM-9PM;9PM-11PM,Gymkhana Park;Tata Sports Complex;Tech Market;A Department,9pm-10pm,UG,5th,RP Hall,AR
1042,2021/03/08 8:34:23 pm GMT+5:30,1,1,1,1,Nalanda;A Department,0,1,Your own Hall Canteen,7PM-9PM,Netaji Auditorium;Other,9pm-10pm,PG,2nd,MMM Hall,CS
1043,2021/03/08 8:36:48 pm GMT+5:30,1,3,5,2,Tech Market,1,4,Your own Hall Canteen;Tech Market;Peep Kitchen,5PM-7PM,Tech Market;Outside Campus,9pm-10pm,PG,2nd,B C Roy Hall,ME
1044,2021/03/08 8:41:44 pm GMT+5:30,5,3,3,4,Gymkhana;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2;Outside Campus,3,3,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Super Duper;Smart Pind;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tata Sports Complex;Tech Market;Outside Campus,1am-2am,UG,5th,Azad Hall,IM
1045,2021/03/08 8:42:57 pm GMT+5:30,0,0,0,0,I don't go anywhere,0,0,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,PG,2nd,B C Roy Hall,ME
1046,2021/03/08 8:45:18 pm GMT+5:30,2,2,2,3,Library;Other Hall of Residence;Nalanda;A Department,1,2,Your own Hall Canteen,5PM-7PM;7PM-9PM,Other Halls of Residence;Library,12am-1am,UG,3rd,RP Hall,PH
1047,2021/03/08 8:50:28 pm GMT+5:30,2,2,2,2,Other Hall of Residence;2.2;Nehru Museum,1,3,VSRC canteen,9PM-11PM,2.2;Library,1am-2am,UG,3rd,MT Hall,CS
1048,2021/03/08 8:56:55 pm GMT+5:30,2,2,5,1,Tech Market;2.2;Outside Campus;A Department,1,1,CCD Mio Amore Area;Tech Market;Peep Kitchen;Other;I generally eat in my hall mess,9AM-11AM;5PM-7PM,2.2;Tech Market;Outside Campus;A Department,11pm-12am,UG,5th,Nehru Hall,EC
1049,2021/03/08 8:59:49 pm GMT+5:30,2,2,3,2,Main Building;Tech Market;Nalanda;Other,1,0,CCD Mio Amore Area;Tech Market;Food City;Sahara;Subway;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Main Building;Tech Market;I don't go anywhere,11pm-12am,UG,3rd,SN-IG Hall,CE
1050,2021/03/08 9:00:48 pm GMT+5:30,5,3,5,4,Gymkhana;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;2.2,1,2,Your own Hall Canteen;Heritage;Food City;Other,9AM-11AM;5PM-7PM;7PM-9PM,Gymkhana;2.2;Main Building;Tech Market;Netaji Auditorium,9pm-10pm,UG,2nd,RP Hall,EC
1051,2021/03/08 9:03:21 pm GMT+5:30,5,3,5,3,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus,2,8,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Food City;VSRC canteen;Dreamland;Tikka;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Tech Market;Outside Campus,11pm-12am,UG,3rd,JCB Hall,AG
1052,2021/03/08 9:05:43 pm GMT+5:30,0,2,5,8,Gymkhana;Library;Main Building;Tech Market;Outside Campus;A Department;Other,2,7,Your own Hall Canteen;Tech Market;I generally eat in my hall mess,9AM-11AM;5PM-7PM,Library;Tech Market;Netaji Auditorium;A Department,9pm-10pm,PG,2nd,JCB Hall,EE
1053,2021/03/08 9:07:55 pm GMT+5:30,0,0,0,0,I don't go anywhere,0,0,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,UG,2nd,RP Hall,EC
1054,2021/03/08 9:10:45 pm GMT+5:30,2,0,2,1,Library;Main Building;Nalanda;2.2;I don't go anywhere,1,2,PFC;Other Hall Canteens;Outside Campus;Tech Market;Peep Kitchen;VSRC canteen;Other;I generally eat in my hall mess,9AM-11AM;11AM-1PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Tata Sports Complex;Tech Market;Outside Campus;Other,9pm-10pm,PG,4th,B R Ambedkar Hall,CH
1055,2021/03/08 9:11:42 pm GMT+5:30,3,3,1,2,Other Hall of Residence,1,3,Your own Hall Canteen;Other Hall Canteens,9PM-11PM,Other Halls of Residence,10pm-11pm,UG,3rd,MS Hall,EC
1056,2021/03/08 9:12:05 pm GMT+5:30,4,1,1,5,Library;Main Building;Vikramshila;Nalanda,2,0,I generally eat in my hall mess,9AM-11AM;1PM-3PM;3PM-5PM;7PM-9PM;9PM-11PM,Library;Main Building;Tech Market,11pm-12am,UG,3rd,JCB Hall,AE
1057,2021/03/08 9:12:15 pm GMT+5:30,4,1,2,2,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;2.2,1,2,Your own Hall Canteen;Tech Market;Peep Kitchen;Subway,5PM-7PM,Gymkhana;Library;Main Building;Tech Market,11pm-12am,UG,3rd,RP Hall,CS
1058,2021/03/08 9:12:22 pm GMT+5:30,4,2,2,2,Main Building;2.2,1,2,Your own Hall Canteen,9AM-11AM,2.2,11pm-12am,UG,2nd,LBS Hall,MA
1059,2021/03/08 9:18:57 pm GMT+5:30,3,2,1,2,Tata Sports Complex;Other,1,1,I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM,Tata Sports Complex;Tech Market,I usually stay in my room,UG,4th,LBS Hall,AE
1060,2021/03/08 9:19:00 pm GMT+5:30,0,1,3,1,Gymkhana;Gymkhana Park;Library;Tech Market;A Department,1,2,Your own Hall Canteen;Tech Market;Subway,11AM-1PM;5PM-7PM,Tech Market,9pm-10pm,PG,2nd,HJB Hall,ME
1061,2021/03/08 9:19:02 pm GMT+5:30,2,2,3,1,Tech Market;2.2,1,4,Your own Hall Canteen;Other Hall Canteens;Tech Market,5PM-7PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market,11pm-12am,UG,4th,Vidyasagar Hall,CH
1062,2021/03/08 9:19:13 pm GMT+5:30,3,2,3,3,Tech Market;Nalanda;2.2,2,4,PFC;Other Hall Canteens;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Tikka,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Tech Market;Outside Campus,11pm-12am,UG,3rd,MT Hall,EE
1063,2021/03/08 9:19:14 pm GMT+5:30,0,2,2,1,Tech Market,1,0,I generally eat in my hall mess,5PM-7PM,Tech Market,I usually stay in my room,UG,3rd,JCB Hall,ME
1064,2021/03/08 9:22:27 pm GMT+5:30,3,2,2,1,Other Hall of Residence;Nalanda;2.2,2,3,Other Hall Canteens,7PM-9PM,Other Halls of Residence;Gymkhana;2.2;Tech Market,10pm-11pm,UG,3rd,JCB Hall,IM
1065,2021/03/08 9:22:39 pm GMT+5:30,4,4,5,4,Tech Market;Other Hall of Residence,1,2,I generally eat in my hall mess,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Main Building;Outside Campus,11pm-12am,UG,3rd,MMM Hall,ME
1066,2021/03/08 9:35:52 pm GMT+5:30,2,3,2,2,Library;Main Building;Other Hall of Residence,1,3,Your own Hall Canteen;Food City;Subway,9AM-11AM;11AM-1PM;7PM-9PM,Other Halls of Residence;Library;Tech Market,9pm-10pm,UG,3rd,RP Hall,EC
1067,2021/03/08 9:40:13 pm GMT+5:30,2,4,5,2,Gymkhana;Main Building;Tech Market;Other Hall of Residence;2.2,2,3,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;VSRC canteen,5PM-7PM;7PM-9PM,Gymkhana;2.2;Tech Market,10pm-11pm,UG,2nd,Azad Hall,MT
1068,2021/03/08 9:42:08 pm GMT+5:30,4,3,5,3,Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;A Department,3,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Peep Kitchen;Tikka,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Outside Campus,9pm-10pm,UG,3rd,LLR Hall,CS
1069,2021/03/08 9:42:09 pm GMT+5:30,2,3,3,1,Tech Market;2.2,1,3,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Smart Pind,5PM-7PM;7PM-9PM,2.2;Tech Market,10pm-11pm,UG,2nd,LBS Hall,CH
1070,2021/03/08 9:43:28 pm GMT+5:30,4,3,5,4,Main Building;Vikramshila;Nalanda,3,4,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market,3PM-5PM,Other Halls of Residence;2.2;Outside Campus,11pm-12am,UG,3rd,MS Hall,ME
1071,2021/03/08 9:56:02 pm GMT+5:30,2,3,3,5,Gymkhana;Vikramshila;Nalanda;2.2;Outside Campus;A Department,2,3,Your own Hall Canteen;Other Hall Canteens;Outside Campus;I generally eat in my hall mess,1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Tech Market;Outside Campus,12am-1am,UG,4th,RK Hall,MT
1072,2021/03/08 9:57:34 pm GMT+5:30,2,3,5,8,Library;Main Building;Tech Market;Nalanda;2.2;A Department;Other,4,7,Outside Campus;Tech Market;I generally eat in my hall mess,11AM-1PM;9PM-11PM,Library,11pm-12am,UG,3rd,RP Hall,ME
1073,2021/03/08 10:06:07 pm GMT+5:30,4,2,5,4,Gymkhana;Main Building;Tech Market;Other Hall of Residence;Vikramshila;2.2;Nehru Museum;Other,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Tech Market;Food City,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Vikramshila;Tech Market;Nehru Museum;Other,11pm-12am,UG,3rd,Vidyasagar Hall,EC
1074,2021/03/08 10:06:27 pm GMT+5:30,3,1,3,3,Tata Sports Complex;Nalanda;A Department,0,1,Your own Hall Canteen;Tikka,7PM-9PM,2.2;Library;Tata Sports Complex;Tech Market,10pm-11pm,UG,2nd,Azad Hall,EC
1075,2021/03/08 10:09:05 pm GMT+5:30,6,2,5,4,Gymkhana;Tech Market;Other Hall of Residence;2.2;Outside Campus,1,6,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Smart Pind,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Tech Market;Basketball/Tennis Courts;Outside Campus,12am-1am,UG,3rd,Azad Hall,MA
1076,2021/03/08 10:10:16 pm GMT+5:30,4,3,5,3,Gymkhana;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Other,2,3,PFC;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;VSRC canteen;Dreamland;Sahara,5PM-7PM;7PM-9PM;9PM-11PM,Main Building;Nalanda Complex;Tech Market,12am-1am,UG,2nd,LBS Hall,ME
1077,2021/03/08 10:10:22 pm GMT+5:30,1,1,1,3,Library;Tech Market,2,1,I generally eat in my hall mess,3PM-5PM;5PM-7PM,2.2;Library,9pm-10pm,UG,2nd,Azad Hall,BT
1078,2021/03/08 10:20:43 pm GMT+5:30,2,1,2,4,2.2,4,1,Your own Hall Canteen,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Tata Sports Complex;Nalanda Complex,9pm-10pm,UG,2nd,RP Hall,AG
1079,2021/03/08 10:20:52 pm GMT+5:30,3,1,4,2,Gymkhana Park;Main Building;Tech Market;Nalanda,2,3,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Super Duper;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;Nalanda Complex;Outside Campus,10pm-11pm,PG,2nd,Other,HS
1080,2021/03/08 10:31:40 pm GMT+5:30,2,2,3,1,Gymkhana;Tech Market;2.2;Outside Campus,1,4,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Food City,11AM-1PM;7PM-9PM,Gymkhana;2.2;Tech Market,11pm-12am,PG,2nd,SAM Hall,AG
1081,2021/03/08 10:50:05 pm GMT+5:30,2,3,5,3,Gymkhana Park;Tech Market;Other Hall of Residence;Tata Sports Complex;Outside Campus,3,3,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;Tata Sports Complex;Tech Market;Outside Campus,1am-2am,UG,4th,JCB Hall,CS
1082,2021/03/08 11:03:23 pm GMT+5:30,3,3,2,2,Gymkhana;Library;Tech Market;Other Hall of Residence,1,4,PFC;Other Hall Canteens;Tech Market;I generally eat in my hall mess,9AM-11AM;7PM-9PM,Other Halls of Residence;Tech Market,9pm-10pm,UG,3rd,Vidyasagar Hall,ME
1083,2021/03/08 11:13:24 pm GMT+5:30,6,3,5,6,Library;Tech Market;Basketball/Tennis courts;Nalanda;A Department,3,7,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Veggies;Food City,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Vikramshila;Tech Market,11pm-12am,UG,2nd,RP Hall,CH
1084,2021/03/08 11:13:29 pm GMT+5:30,2,2,5,3,Library;Tech Market;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2;Nehru Museum,2,1,Your own Hall Canteen;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Tata Sports Complex;Nalanda Complex;Tech Market;Outside Campus,10pm-11pm,UG,2nd,Azad Hall,CE
1085,2021/03/08 11:24:12 pm GMT+5:30,1,2,5,4,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Basketball/Tennis courts;2.2;Outside Campus;A Department;Nehru Museum,2,10,CCD Mio Amore Area;Tech Market,5PM-7PM;7PM-9PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department;Nehru Museum,1am-2am,UG,3rd,MT Hall,IM
1086,2021/03/08 11:34:29 pm GMT+5:30,5,3,4,1,Tech Market;Outside Campus,2,2,Other Hall Canteens;Heritage;Tech Market;Peep Kitchen;Veggies,9AM-11AM;5PM-7PM,Other Halls of Residence;Tech Market;Outside Campus,9pm-10pm,PG,2nd,MMM Hall,MA
1087,2021/03/08 11:36:59 pm GMT+5:30,4,2,2,1,I don't go anywhere,0,10,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Smart Pind;I generally eat in my hall mess,5PM-7PM,I don't go anywhere,I usually stay in my room,UG,4th,RP Hall,CS
1088,2021/03/08 11:55:11 pm GMT+5:30,0,1,0,0,I don't go anywhere,0,1,Your own Hall Canteen;I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,UG,2nd,RP Hall,EC
1089,2021/03/08 11:56:35 pm GMT+5:30,1,1,2,4,Library;Tech Market;Other,1,3,Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Smart Pind,7PM-9PM;9PM-11PM,Tech Market,12am-1am,PG,1st,Nivedita Hall,BT
