,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
397,2021/03/08 12:17:13 pm GMT+5:30,2,5,1,1,Tech Market;Other Hall of Residence,1,1,Your own Hall Canteen;Other Hall Canteens;Tech Market,7PM-9PM,Other Halls of Residence;Tech Market,10pm-11pm,UG,4th,RK Hall,EE
398,2021/03/08 12:17:17 pm GMT+5:30,5,5,5,4,Gymkhana;Gymkhana Park;Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus;Other,3,2,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Smart Pind;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Tech Market;Basketball/Tennis Courts;Outside Campus,12am-1am,UG,3rd,RP Hall,ME
399,2021/03/08 12:17:30 pm GMT+5:30,2,3,3,2,Library;Tech Market;Nalanda;2.2;A Department,3,2,Your own Hall Canteen;PFC;Other Hall Canteens,11AM-1PM;9PM-11PM,2.2;Library;Tech Market,I usually stay in my room,UG,3rd,Azad Hall,AE
400,2021/03/08 12:17:49 pm GMT+5:30,2,2,1,3,Library;Tech Market,1,2,Your own Hall Canteen,5PM-7PM,Netaji Auditorium;A Department;Other,1am-2am,UG,3rd,Patel Hall,MI
401,2021/03/08 12:17:51 pm GMT+5:30,3,3,5,5,Gymkhana;Main Building;Tech Market;Nalanda;2.2;A Department,2,10,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Smart Pind;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Nalanda Complex;Tech Market;A Department;Nehru Museum,1am-2am,UG,2nd,LBS Hall,MA
402,2021/03/08 12:17:56 pm GMT+5:30,4,3,4,3,Gymkhana;Tech Market;Basketball/Tennis courts;Nalanda;2.2;A Department,2,4,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Food City;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Tech Market;Basketball/Tennis Courts,12am-1am,PG,2nd,MMM Hall,CE
403,2021/03/08 12:18:09 pm GMT+5:30,4,4,4,1,Gymkhana;Nalanda;2.2,3,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Food City;Smart Pind;Subway,5PM-7PM;7PM-9PM,2.2;Tech Market,12am-1am,UG,3rd,RK Hall,CH
404,2021/03/08 12:18:17 pm GMT+5:30,1,2,0,0,Tech Market;Nalanda,1,7,Your own Hall Canteen,5PM-7PM,Gymkhana;Tech Market,1am-2am,UG,3rd,RK Hall,CH
406,2021/03/08 12:18:23 pm GMT+5:30,4,3,2,2,Library;Other Hall of Residence;2.2,1,0,I generally eat in my hall mess,7PM-9PM,I don't go anywhere,9pm-10pm,UG,2nd,Azad Hall,IE
407,2021/03/08 12:18:28 pm GMT+5:30,1,2,4,2,Other Hall of Residence;Other,2,7,PFC;Other Hall Canteens;Outside Campus,11AM-1PM;7PM-9PM,Other Halls of Residence;Outside Campus,12am-1am,UG,3rd,Azad Hall,MT
